state_id,state_name
PR,Puerto Rico
PR,Puerto Rico
PR,Puerto Rico
PR,Puerto Rico
PR,Puerto Rico
PR,Puerto Rico
PR,Puerto Rico
PR,Puerto Rico
PR,Puerto Rico
PR,Puerto Rico
PR,Puerto Rico
PR,Puerto Rico
PR,Puerto Rico
PR,Puerto Rico
PR,Puerto Rico
PR,Puerto Rico
PR,Puerto Rico
PR,Puerto Rico
PR,Puerto Rico
PR,Puerto Rico
PR,Puerto Rico
PR,Puerto Rico
PR,Puerto Rico
PR,Puerto Rico
PR,Puerto Rico
PR,Puerto Rico
PR,Puerto Rico
PR,Puerto Rico
PR,Puerto Rico
PR,Puerto Rico
PR,Puerto Rico
PR,Puerto Rico
PR,Puerto Rico
PR,Puerto Rico
PR,Puerto Rico
PR,Puerto Rico
PR,Puerto Rico
PR,Puerto Rico
PR,Puerto Rico
PR,Puerto Rico
PR,Puerto Rico
PR,Puerto Rico
PR,Puerto Rico
PR,Puerto Rico
PR,Puerto Rico
PR,Puerto Rico
PR,Puerto Rico
PR,Puerto Rico
PR,Puerto Rico
PR,Puerto Rico
PR,Puerto Rico
PR,Puerto Rico
PR,Puerto Rico
PR,Puerto Rico
PR,Puerto Rico
PR,Puerto Rico
PR,Puerto Rico
PR,Puerto Rico
PR,Puerto Rico
PR,Puerto Rico
PR,Puerto Rico
PR,Puerto Rico
PR,Puerto Rico
PR,Puerto Rico
PR,Puerto Rico
PR,Puerto Rico
PR,Puerto Rico
PR,Puerto Rico
PR,Puerto Rico
PR,Puerto Rico
PR,Puerto Rico
PR,Puerto Rico
PR,Puerto Rico
PR,Puerto Rico
PR,Puerto Rico
PR,Puerto Rico
PR,Puerto Rico
PR,Puerto Rico
PR,Puerto Rico
PR,Puerto Rico
PR,Puerto Rico
PR,Puerto Rico
PR,Puerto Rico
PR,Puerto Rico
PR,Puerto Rico
PR,Puerto Rico
PR,Puerto Rico
PR,Puerto Rico
PR,Puerto Rico
PR,Puerto Rico
VI,Virgin Islands
VI,Virgin Islands
VI,Virgin Islands
VI,Virgin Islands
VI,Virgin Islands
VI,Virgin Islands
VI,Virgin Islands
VI,Virgin Islands
VI,Virgin Islands
VI,Virgin Islands
VI,Virgin Islands
PR,Puerto Rico
PR,Puerto Rico
PR,Puerto Rico
PR,Puerto Rico
PR,Puerto Rico
PR,Puerto Rico
PR,Puerto Rico
PR,Puerto Rico
PR,Puerto Rico
PR,Puerto Rico
PR,Puerto Rico
PR,Puerto Rico
PR,Puerto Rico
PR,Puerto Rico
PR,Puerto Rico
PR,Puerto Rico
PR,Puerto Rico
PR,Puerto Rico
PR,Puerto Rico
PR,Puerto Rico
PR,Puerto Rico
PR,Puerto Rico
PR,Puerto Rico
PR,Puerto Rico
PR,Puerto Rico
PR,Puerto Rico
PR,Puerto Rico
PR,Puerto Rico
PR,Puerto Rico
PR,Puerto Rico
PR,Puerto Rico
PR,Puerto Rico
PR,Puerto Rico
PR,Puerto Rico
PR,Puerto Rico
PR,Puerto Rico
PR,Puerto Rico
PR,Puerto Rico
PR,Puerto Rico
PR,Puerto Rico
PR,Puerto Rico
MA,Massachusetts
MA,Massachusetts
